Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AACG,ATA Creativity Global American Depositary Shares,$2.77,-0.16,-5.461%,87812291.00,China,,57799,Miscellaneous,Service to the Health Industry
AACQ,Artius Acquisition Inc. Class A Common Stock,$9.91,0.04,0.405%,897474375.00,United States,2020,981415,Finance,Business Services
AACQU,Artius Acquisition Inc. Unit ,$10.42,-0.0113,-0.108%,0.00,United States,2020,1417,Finance,Business Services
AACQW,Artius Acquisition Inc Warrant,$1.64,0.13,8.609%,0.00,United States,2020,79459,Finance,Business Services
AAL,American Airlines Group Inc. Common Stock,$22.99,0.42,1.861%,14745397998.00,United States,,26099601,Transportation,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,$4.16,-0.14,-3.256%,84929653.00,United States,,57921,Finance,Life Insurance
